Element,Base Value
1T,0.4
1S,0.4
1Lo,0.5
1Eu,0.5
1F,0.5
1Lz,0.6
1A,1.1
2T,1.3
2S,1.3
2Lo,1.7
2F,1.8
2Lz,2.1
2A,3.3
3T,4.2
3S,4.3
3Lo,4.9
3F,5.3
3Lz,5.9
3A,8.0
4T,9.5
4S,9.7
4Lo,10.5
4F,11.0
4Lz,11.5
4A,12.5
5T,14.0
5S,14.0
5Lo,14.0
5F,14.0
5Lz,14.0
1Tq,0.4
1Sq,0.4
1Loq,0.5
1Fq,0.5
1Lzq,0.6
1T<,0.32
1S<,0.32
1Lo<,0.4
1F<,0.4
1Lz<,0.48
1T<<,0.0
1S<<,0.0
1Lo<<,0.0
1Eu<<,0.0
1F<<,0.0
1Lz<<,0.0
1Fe,0.4
1Feq,0.4
1Fe<,0.3
1Fe<<,0.0
1Lze,0.48
1Lzeq,0.48
1Lze<,0.36
1Lze<<,0.0
1F!,0.5
1F!q,0.5
1F!<,0.4
1F!<<,0.0
1Lz!,0.6
1Lz!q,0.6
1Lz!<,0.48
1Lz!<<,0.0
1Aq,1.1
2Tq,1.3
2Sq,1.3
2Loq,1.7
2Fq,1.8
2Lzq,2.1
1A<,0.88
2T<,1.04
2S<,1.04
2Lo<,1.36
2F<,1.44
2Lz<,1.68
1A<<,0.0
2T<<,0.4
2S<<,0.4
2Lo<<,0.5
2F<<,0.5
2Lz<<,0.6
2Fe,1.44
2Feq,1.44
2Fe<,1.08
2Fe<<,0.4
2Lze,1.68
2Lzeq,1.68
2Lze<,1.26
2Lze<<,0.48
2F!,1.8
2F!q,1.8
2F!<,1.44
2F!<<,0.5
2Lz!,2.1
2Lz!q,2.1
2Lz!<,1.68
2Lz!<<,0.6
2Ab,3.3
3Tb,4.2
3Sb,4.3
3Lob,4.9
3Fb,5.3
3Lzb,5.9
2Aq,3.3
3Tq,4.2
3Sq,4.3
3Loq,4.9
3Fq,5.3
3Lzq,5.9
2Aqb,3.3
3Tqb,4.2
3Sqb,4.3
3Loqb,4.9
3Fqb,5.3
3Lzqb,5.9
2A<,2.64
3T<,3.36
3S<,3.44
3Lo<,3.92
3F<,4.24
3Lz<,4.72
2A<<,1.1
3T<<,1.3
3S<<,1.3
3Lo<<,1.7
3F<<,1.8
3Lz<<,2.1
3Fe,4.24
3Feq,4.24
3Fe<,3.18
3Fe<<,1.44
3Lze,4.72
3Lzeq,4.72
3Lze<,3.54
3Lze<<,1.68
3F!,5.3
3F!b,5.3
3F!q,5.3
3F!qb,5.3
3F!<,4.24
3F!<<,1.8
