Year,Discipline,Segment,Rank,Skater_Name,Nation,Element_Number,Element_Name,Element_Type,GOE_Base,Info_Column,Second_Half,Base_Value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,GOE_Mid7_Avg,Element_Score,Total_Segment_Score,Total_Element_Score,Total_Component_Score,Total_Deductions
2022,M,Free,1,CHEN Nathan,USA,1,4F+3T,jump,11.0,,False,15.2,4.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,19.6,218.63,121.41,97.22,0.0
2022,M,Free,1,CHEN Nathan,USA,2,4F,jump,11.0,,False,11.0,4.24,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.857142857142857,15.24,218.63,121.41,97.22,0.0
2022,M,Free,1,CHEN Nathan,USA,3,4S,jump,9.7,,False,9.7,1.8,0.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.8571428571428568,11.5,218.63,121.41,97.22,0.0
2022,M,Free,1,CHEN Nathan,USA,4,CCSp4,spin,3.2,,False,3.2,0.96,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.16,218.63,121.41,97.22,0.0
2022,M,Free,1,CHEN Nathan,USA,5,4Lz,jump,11.5,,False,11.5,4.93,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.285714285714286,16.43,218.63,121.41,97.22,0.0
2022,M,Free,1,CHEN Nathan,USA,6,StSq4,step,3.9,,False,3.9,1.62,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.142857142857143,5.52,218.63,121.41,97.22,0.0
2022,M,Free,1,CHEN Nathan,USA,7,4T+1Eu+1F,jump,9.5,,True,11.55,1.63,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.7142857142857142,13.18,218.63,121.41,97.22,0.0
2022,M,Free,1,CHEN Nathan,USA,8,3A,jump,8.0,,True,8.8,2.17,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.7142857142857144,10.97,218.63,121.41,97.22,0.0
2022,M,Free,1,CHEN Nathan,USA,9,3Lz+3T,jump,5.9,,True,11.11,1.35,3.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,2.2857142857142856,12.46,218.63,121.41,97.22,0.0
2022,M,Free,1,CHEN Nathan,USA,10,CCoSp2V,spin,1.88,,False,1.88,0.64,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.4285714285714284,2.52,218.63,121.41,97.22,0.0
2022,M,Free,1,CHEN Nathan,USA,11,ChSq1,choreo,3.0,,False,3.0,1.93,3.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,3.857142857142857,4.93,218.63,121.41,97.22,0.0
2022,M,Free,1,CHEN Nathan,USA,12,FCCoSp4,spin,3.5,,False,3.5,1.4,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.9,218.63,121.41,97.22,0.0
2022,M,Free,2,KAGIYAMA Yuma,JPN,1,4S,jump,9.7,,False,9.7,4.43,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.571428571428571,14.13,201.93,107.99,93.94,0.0
2022,M,Free,2,KAGIYAMA Yuma,JPN,2,4Loq,jump,10.5,q,False,10.5,-4.65,-5.0,-5.0,-4.0,-3.0,-5.0,-3.0,-4.0,-5.0,-5.0,-4.428571428571429,5.85,201.93,107.99,93.94,0.0
2022,M,Free,2,KAGIYAMA Yuma,JPN,3,4T,jump,9.5,,False,9.5,3.8,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,13.3,201.93,107.99,93.94,0.0
2022,M,Free,2,KAGIYAMA Yuma,JPN,4,3A+2T,jump,8.0,,False,9.3,2.74,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.4285714285714284,12.04,201.93,107.99,93.94,0.0
2022,M,Free,2,KAGIYAMA Yuma,JPN,5,CSSp4,spin,3.0,,False,3.0,0.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.9,201.93,107.99,93.94,0.0
2022,M,Free,2,KAGIYAMA Yuma,JPN,6,StSq4,step,3.9,,False,3.9,1.56,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.46,201.93,107.99,93.94,0.0
2022,M,Free,2,KAGIYAMA Yuma,JPN,7,4T+1Eu+2S,jump,9.5,,True,12.43,2.58,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.7142857142857144,15.01,201.93,107.99,93.94,0.0
2022,M,Free,2,KAGIYAMA Yuma,JPN,8,3F+3Lo,jump,5.3,,True,11.22,1.97,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.7142857142857135,13.19,201.93,107.99,93.94,0.0
2022,M,Free,2,KAGIYAMA Yuma,JPN,9,3A,jump,8.0,,True,8.8,1.83,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,2.2857142857142856,10.63,201.93,107.99,93.94,0.0
2022,M,Free,2,KAGIYAMA Yuma,JPN,10,ChSq1,choreo,3.0,,False,3.0,1.93,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,3.857142857142857,4.93,201.93,107.99,93.94,0.0
2022,M,Free,2,KAGIYAMA Yuma,JPN,11,CCoSp4,spin,3.5,,False,3.5,1.3,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.7142857142857135,4.8,201.93,107.99,93.94,0.0
